artist,track_count,danceability,energy,valence,acousticness,loudness,speechiness,popularity,danceability_delta_vs_madonna,energy_delta_vs_madonna,valence_delta_vs_madonna,acousticness_delta_vs_madonna,loudness_delta_vs_madonna,speechiness_delta_vs_madonna,popularity_delta_vs_madonna
Madonna,174,0.6854252873563218,0.6515683908045977,0.5956844827586207,0.2250940344827586,-9.556063218390806,0.04868850574712644,44.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariah Carey,112,0.5517589285714285,0.5106875000000001,0.36697232142857145,0.41686669642857144,-8.906410714285714,0.04125267857142857,45.63392857142857,-0.1336663587848933,-0.14088089080459765,-0.2287121613300493,0.19177266194581283,0.6496525041050916,-0.007435827175697865,0.9672619047619051
Miley Cyrus,42,0.5919761904761904,0.722452380952381,0.4631428571428572,0.06901188095238095,-5.067428571428572,0.0587047619047619,52.595238095238095,-0.09344909688013137,0.07088399014778324,-0.13254162561576355,-0.15608215353037766,4.488634646962234,0.010016256157635461,7.928571428571431
Nicki Minaj,30,0.6810666666666666,0.6747666666666666,0.5294333333333333,0.12192399999999999,-5.911033333333333,0.17233666666666667,59.53333333333333,-0.0043586206896552016,0.023198275862068907,-0.06625114942528743,-0.10317003448275862,3.6450298850574727,0.12364816091954023,14.866666666666667
Olivia Rodrigo,5,0.4446,0.5027999999999999,0.1462,0.41628,-7.292199999999999,0.06894,82.2,-0.2408252873563218,-0.1487683908045978,-0.44948448275862074,0.19118596551724137,2.2638632183908065,0.020251494252873564,37.53333333333334
Pink,4,0.5835,0.692,0.55875,0.21507500000000002,-7.43725,0.032100000000000004,26.75,-0.10192528735632178,0.04043160919540223,-0.03693448275862077,-0.010019034482758593,2.118813218390806,-0.016588505747126434,-17.916666666666664
Rihanna,91,0.6414505494505495,0.673989010989011,0.5248681318681319,0.1376850769230769,-5.772285714285714,0.0727901098901099,60.9010989010989,-0.04397473790577233,0.022420620184413265,-0.07081635089048888,-0.0874089575596817,3.7837775041050916,0.024101604142983457,16.234432234432234
Selena Gomez,46,0.6850869565217391,0.6644782608695652,0.49211304347826085,0.09679456521739131,-5.690760869565217,0.07217173913043479,39.67391304347826,-0.00033833083458267854,0.012909870064967466,-0.10357143928035989,-0.12829946926536728,3.8653023488255887,0.02348323338330835,-4.992753623188406
Shakira,78,0.7000384615384616,0.6657192307692308,0.5887564102564102,0.27130179487179484,-6.919666666666667,0.048756410256410254,56.717948717948715,0.01461317418213981,0.014150839964633066,-0.006928072502210503,0.046207760389036234,2.636396551724139,6.790450928381708e-05,12.051282051282051
Shania Twain,51,0.6399803921568628,0.6733725490196079,0.6998823529411765,0.2605058823529412,-6.616607843137255,0.03942156862745098,50.31372549019608,-0.045444895199459046,0.02180415821501014,0.10419787018255577,0.03541184787018259,2.9394553752535506,-0.00926693711967546,5.647058823529413
Sia,50,0.51156,0.69026,0.417256,0.14287204,-5.3444,0.058882000000000004,56.4,-0.17386528735632178,0.038691609195402266,-0.17842848275862072,-0.0822219944827586,4.211663218390806,0.010193494252873567,11.733333333333334
Taylor Swift,359,0.5912729805013928,0.637707520891365,0.44217047353760447,0.20994356824512536,-6.0949610027855154,0.04846183844011142,60.729805013927574,-0.09415230685492904,-0.013860869913232765,-0.15351400922101627,-0.015150466237633248,3.4611022156052904,-0.00022666730701501742,16.06313834726091
Tina Turner,83,0.6592409638554216,0.6727469879518072,0.6528554216867469,0.17761662650602408,-8.707710843373494,0.04782891566265061,41.06024096385542,-0.026184323500900164,0.021178597147209488,0.05717093892812619,-0.047477407976734526,0.8483523750173116,-0.0008595900844758295,-3.6064257028112436
Whitney Houston,69,0.6046666666666667,0.5309710144927536,0.4349608695652174,0.414775884057971,-9.68750724637681,0.04681014492753623,47.82608695652174,-0.08075862068965511,-0.12059737631184408,-0.16072361319340334,0.1896818495752124,-0.13144402798600474,-0.0018783608195902038,3.1594202898550776
