name,artists,release_year,popularity,cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_name
Amazing,['Madonna'],2000,39,3,0.563,0.842,-7.029,0.0552,0.00368,0.000472,0.101,0.41,135.012,Bold & Energetic
Where Life Begins,['Madonna'],1992,39,2,0.687,0.716,-10.745,0.0351,0.0257,0.282,0.113,0.83,99.983,Instrumental & Produced
Buenos Aires,['Madonna'],1996,38,3,0.772,0.805,-8.363,0.0848,0.116,0.000349,0.0759,0.657,122.95,Bold & Energetic
Survival,['Madonna'],1994,38,1,0.732,0.623,-9.004,0.0334,0.106,0.0,0.0704,0.736,94.994,Uplifting & Danceable
Another Suitcase in Another Hall,['Madonna'],1996,38,0,0.52,0.248,-14.166,0.0353,0.848,1.75e-05,0.112,0.228,125.956,Acoustic & Mellow
Oh What a Circus,"['Antonio Banderas', 'Madonna']",1996,38,0,0.36,0.492,-10.325,0.0431,0.811,0.0,0.276,0.302,135.455,Acoustic & Mellow
Keep It Together,['Madonna'],1989,38,1,0.719,0.819,-10.579,0.0448,0.231,0.0222,0.0808,0.794,103.078,Uplifting & Danceable
Physical Attraction,['Madonna'],1983,37,1,0.881,0.562,-13.091,0.0759,0.188,0.0461,0.172,0.947,120.199,Uplifting & Danceable
Jimmy Jimmy,['Madonna'],1986,37,1,0.674,0.671,-11.075,0.0342,0.144,0.00272,0.102,0.963,151.079,Uplifting & Danceable
Love Makes the World Go Round,['Madonna'],1986,37,1,0.775,0.759,-9.502,0.0339,0.236,0.0,0.197,0.97,121.9,Uplifting & Danceable
Till Death Do Us Part,['Madonna'],1989,37,1,0.615,0.783,-11.862,0.0289,0.112,0.0011,0.0428,0.977,143.783,Uplifting & Danceable
Don't Stop,"['Madonna', 'Daniel Abraham']",1994,36,3,0.733,0.789,-7.95,0.0584,0.00227,0.000622,0.0618,0.622,94.858,Bold & Energetic
I'd Be Surprisingly Good for You,"['Madonna', 'Jonathan Pryce']",1996,36,0,0.568,0.291,-13.888,0.047,0.871,0.0,0.0888,0.425,100.647,Acoustic & Mellow
The Look of Love,['Madonna'],1987,36,0,0.531,0.665,-14.231,0.0312,0.379,0.0,0.0916,0.752,91.93,Acoustic & Mellow
Spotlight,"['Madonna', 'Jellybean Benitiz']",1987,36,1,0.736,0.714,-11.136,0.0349,0.141,4.89e-06,0.0406,0.97,117.96,Uplifting & Danceable
Promise to Try,['Madonna'],1989,36,0,0.344,0.0659,-21.976,0.0428,0.922,2.89e-06,0.128,0.379,113.972,Acoustic & Mellow
Shoo-Bee-Doo,['Madonna'],1984,36,0,0.608,0.588,-11.973,0.0411,0.689,8.38e-06,0.0796,0.483,94.156,Acoustic & Mellow
Stay,['Madonna'],1984,36,1,0.715,0.706,-12.249,0.0453,0.464,0.0,0.357,0.85,118.419,Uplifting & Danceable
"High Flying, Adored","['Antonio Banderas', 'Madonna']",1996,36,0,0.686,0.372,-11.961,0.0358,0.639,0.0,0.132,0.307,122.953,Acoustic & Mellow
Love Song,['Madonna'],1989,35,1,0.771,0.457,-12.277,0.255,0.434,0.000179,0.135,0.675,158.558,Uplifting & Danceable
"Burning Up - 12"" Version","['Madonna', 'John ""Jellybean"" Benitez']",1983,35,1,0.872,0.811,-11.483,0.0453,0.0975,0.00287,0.0782,0.971,139.325,Uplifting & Danceable
Pretender,['Madonna'],1984,35,1,0.843,0.635,-12.244,0.0327,0.444,0.0,0.0607,0.843,111.128,Uplifting & Danceable
Goodnight and Thank You,"['Antonio Banderas', 'Madonna']",1996,35,0,0.388,0.617,-9.627,0.0436,0.691,0.0,0.0893,0.842,73.817,Acoustic & Mellow
Physical Attraction,['Madonna'],1983,34,3,0.907,0.641,-7.694,0.0746,0.0436,0.0138,0.184,0.932,119.2,Bold & Energetic
Bye Bye Baby,['Madonna'],1992,34,2,0.757,0.612,-9.986,0.0356,0.000905,0.85,0.0926,0.431,108.619,Instrumental & Produced
Think of Me,['Madonna'],1983,34,2,0.832,0.724,-5.971,0.0403,0.0297,0.188,0.0334,0.89,118.411,Instrumental & Produced
Lucky Star - New Mix,['Madonna'],1983,33,3,0.801,0.722,-4.509,0.0444,0.068,0.000207,0.284,0.907,117.256,Bold & Energetic
Sooner or Later,['Madonna'],1990,33,0,0.488,0.189,-14.479,0.0288,0.632,1.28e-05,0.105,0.194,71.39,Acoustic & Mellow
Waiting,['Madonna'],1992,33,1,0.745,0.622,-8.164,0.0389,0.187,0.00278,0.0731,0.745,95.766,Uplifting & Danceable
Holiday,['Madonna'],1987,32,1,0.709,0.764,-10.948,0.0356,0.242,0.00599,0.0521,0.883,117.635,Uplifting & Danceable
Thief of Hearts,['Madonna'],1992,32,1,0.809,0.655,-8.479,0.0318,0.00449,0.0377,0.0622,0.471,117.952,Uplifting & Danceable
Can't Stop,['Madonna'],1987,31,3,0.737,0.798,-10.415,0.0295,0.0269,2.61e-06,0.297,0.586,114.999,Bold & Energetic
I Know It,['Madonna'],1983,31,1,0.877,0.423,-12.084,0.0405,0.216,0.00177,0.0838,0.62,128.375,Uplifting & Danceable
Act of Contrition,['Madonna'],1989,31,3,0.574,0.87,-15.162,0.281,0.0701,1.36e-05,0.825,0.209,110.934,Bold & Energetic
Why's It so Hard,['Madonna'],1992,30,2,0.612,0.617,-9.079,0.0378,0.00251,0.0473,0.0967,0.239,80.93,Instrumental & Produced
Words,['Madonna'],1992,30,3,0.712,0.708,-9.277,0.0296,0.0094,0.00614,0.114,0.521,116.253,Bold & Energetic
